nom_enseigne,longitude,latitude,territoryLabel
CARREFOUR DRIVE,1.299845,47.596435,OUEST
CARREFOUR DRIVE,6.11817,49.10785,EST
CARREFOUR DRIVE,4.874455,45.715775,SUD
CARREFOUR DRIVE,5.7034,45.75776,SUD
CARREFOUR DRIVE,-1.4528108,46.666119,OUEST
CARREFOUR DRIVE,2.603598,46.345826,SUD
CARREFOUR DRIVE,7.185607,43.72591,SUD
CARREFOUR DRIVE,5.2236285,45.6124703,SUD
CARREFOUR DRIVE,-1.0427224,43.7092482,SUD
CARREFOUR DRIVE,1.0967777,49.3310336,NORD
CARREFOUR DRIVE,2.5445366,48.8390176,ILE-DE-FRANCE
CARREFOUR DRIVE,4.77484,45.7877683,SUD
CARREFOUR DRIVE,5.3975801,43.5063375,SUD
CARREFOUR DRIVE,5.0528366,47.3571644,EST
CARREFOUR DRIVE,-0.6549984,44.8310832,SUD
CARREFOUR DRIVE,5.1034139,47.309719,EST
CARREFOUR DRIVE,2.5479507,48.61296,ILE-DE-FRANCE
CARREFOUR DRIVE,5.2600349,43.4334201,SUD
CARREFOUR DRIVE,-0.2912615,49.1665365,NORD
CARREFOUR DRIVE,2.3489084,49.0099196,ILE-DE-FRANCE
CARREFOUR DRIVE,2.6094061,48.7773539,ILE-DE-FRANCE
CARREFOUR DRIVE,5.6644763,45.2403719,SUD
CARREFOUR DRIVE,4.02518,48.307118,EST
CARREFOUR DRIVE,-1.5145245,47.2576042,OUEST
CARREFOUR DRIVE,2.5222967,48.905639,ILE-DE-FRANCE
CARREFOUR DRIVE,2.8010975,48.8969086,ILE-DE-FRANCE
CARREFOUR DRIVE,6.076065,44.675063,SUD
CARREFOUR DRIVE,3.312074,50.287523,NORD
CARREFOUR DRIVE,4.0252806,49.2720092,EST
CARREFOUR DRIVE,1.2853227,43.608992,SUD
CARREFOUR DRIVE,2.028185,50.371617,NORD
CARREFOUR DRIVE,4.915133,45.527929,SUD
CARREFOUR DRIVE,2.4185968,48.3972741,ILE-DE-FRANCE
CARREFOUR DRIVE,-4.050591,47.998922,OUEST
CARREFOUR DRIVE,4.362536,43.821394,SUD
E. LECLERC DRIVE,7.655396,48.557917,EST
E. LECLERC DRIVE,-0.2311,44.94544,SUD
E. LECLERC DRIVE,6.1315849,49.3492706,EST
E. LECLERC DRIVE,-1.6885153,47.8564548,OUEST
E. LECLERC DRIVE,6.9452445,43.6502976,SUD
E. LECLERC DRIVE,3.1476943,46.9955343,EST
E. LECLERC DRIVE,-1.782711,46.515002,OUEST
E. LECLERC DRIVE,0.446641,44.833687,SUD
E. LECLERC DRIVE,4.74386,43.95856,SUD
E. LECLERC DRIVE,-1.6862553,48.1371382,OUEST
E. LECLERC DRIVE,-1.7411258,48.0560149,OUEST
E. LECLERC DRIVE,-0.6166175,43.1979268,SUD
E. LECLERC DRIVE,-1.0422355,43.7313599,SUD
E. LECLERC DRIVE,4.06989,49.26969,EST
E. LECLERC DRIVE,-4.4785355,48.4257662,OUEST
E. LECLERC DRIVE,-1.4340971,49.0681341,NORD
E. LECLERC DRIVE,2.86545,50.44799,NORD
E. LECLERC DRIVE,1.0746794,49.3871997,NORD
E. LECLERC DRIVE,1.1913867,49.252195,NORD
E. LECLERC DRIVE,2.9569114,48.3608357,ILE-DE-FRANCE
E. LECLERC DRIVE,3.4416263,50.4367621,NORD
E. LECLERC DRIVE,0.1566523,47.9739066,OUEST
