Rang,Departement,Commune,Score,Habitants,territoryLabel
271,NORD,FACHES-THUMESNIL,61.011345021474931,17195,NORD
272,BAS-RHIN,HOENHEIM,60.97035578408336,11037,EST
273,BOUCHES-DU-RHONE,MARSEILLE-12E--ARRONDISSEMENT,60.950743655728779,60671,SUD
274,MEURTHE-ET-MOSELLE,VANDOEUVRE-LES-NANCY,60.661343651655486,25717,EST
275,ALPES-MARITIMES,SAINT-LAURENT-DU-VAR,60.030117840536732,31824,SUD
276,HAUTE-SAVOIE,GAILLARD,60.029237142058754,9364,EST
277,NORD,LYS-LEZ-LANNOY,59.993832178435056,13954,NORD
278,SEINE-ET-MARNE,PONTAULT-COMBAULT,59.836245597720634,38339,ILE-DE-FRANCE
279,YVELINES,LE PORT-MARLY,59.726892693546844,5349,ILE-DE-FRANCE
280,EURE-ET-LOIR,LUCE,59.65439052040221,16855,OUEST
281,YVELINES,CARRIERES-SOUS-POISSY,59.636187932623216,15626,ILE-DE-FRANCE
282,FINISTERE,BREST,59.562475767726482,123132,OUEST
283,SEINE-ET-MARNE,BROU-SUR-CHANTEREINE,59.36046267733758,3835,ILE-DE-FRANCE
284,PAS-DE-CALAIS,ARRAS,59.299505297957943,38088,NORD
285,ESSONNE,SAINTE-GENEVIEVE-DES-BOIS,59.168717537432933,36071,ILE-DE-FRANCE
286,VAL-DE-MARNE,CHENNEVIERES-SUR-MARNE,58.866657194273607,20156,ILE-DE-FRANCE
287,SEINE-SAINT-DENIS,TREMBLAY-EN-FRANCE,58.601811983934688,36431,ILE-DE-FRANCE
288,LOIRE,SAINT-ETIENNE,58.393922667508512,155955,EST
289,SEINE-SAINT-DENIS,VILLEPINTE,58.301194989861585,36480,ILE-DE-FRANCE
290,CHARENTE-MARITIME,LA ROCHELLE,58.0718441008757,69093,OUEST
291,VAL-D'OISE,TAVERNY,58.049330080171728,26390,ILE-DE-FRANCE
292,EURE-ET-LOIR,CHARTRES,57.814812678036425,37342,OUEST
293,VAL-D'OISE,MONTMORENCY,57.527163856804016,21533,ILE-DE-FRANCE
294,VAL-DE-MARNE,BOISSY-SAINT-LEGER,57.462417214113984,15905,ILE-DE-FRANCE
295,LOIRE,ROANNE,57.388599600807872,33114,EST
296,SEINE-MARITIME,MAROMME,57.380782594302239,10423,NORD
297,SEINE-ET-MARNE,LE MEE-SUR-SEINE,57.1275312025491,19508,ILE-DE-FRANCE
298,SEINE-ET-MARNE,SERRIS,56.814238106428228,8179,ILE-DE-FRANCE
299,SEINE-MARITIME,DEVILLE-LES-ROUEN,56.760063363573437,10403,NORD
300,HAUT-RHIN,HUNINGUE,56.58336141028,6856,EST
301,PYRENEES-ATLANTIQUES,BILLERE,56.3444145800725,12546,OUEST
302,NORD,VALENCIENNES,56.082536505316483,38894,NORD
303,ESSONNE,PALAISEAU,55.99220923678142,32338,ILE-DE-FRANCE
304,ISERE,LE PONT-DE-CLAIX,55.921483987691445,10067,EST
305,RHONE,SATHONAY-CAMP,55.894419147039336,5692,EST
306,RHONE,VAULX-EN-VELIN,55.787097866982911,46061,EST
307,GIRONDE,BEGLES,55.435841649947427,26677,OUEST
308,SEINE-ET-MARNE,VAIRES-SUR-MARNE,55.432885032221577,13591,ILE-DE-FRANCE
309,ESSONNE,PARAY-VIEILLE-POSTE,55.426709466817513,7820,ILE-DE-FRANCE
310,AISNE,SAINT-QUENTIN,55.394800679775507,53387,NORD
311,VAL-D'OISE,LE PLESSIS-BOUCHARD,55.269255252584351,7896,ILE-DE-FRANCE
312,DORDOGNE,PERIGUEUX,55.136229642050374,27336,OUEST
313,SEINE-ET-MARNE,BUSSY-SAINT-GEORGES,55.1210939089265,26400,ILE-DE-FRANCE
314,VAL-D'OISE,MONTIGNY-LES-CORMEILLES,55.062118220051396,20012,ILE-DE-FRANCE
